id,emergence_weight,Size.PC1,Shape.PC1,wing.loading,thorax,abdomen,dry.mass
546.2,0.4731,-0.977879839,-0.717741709,0.059942984,0.0572,0.0594,0.1166
546.4,0.4945,-0.610247369,0.545997916,0.060865284,0.0671,0.0638,0.1309
550.1,0.7034,1.466565146,-0.020269087,0.075383131,0.0875,0.0816,0.1691
551.1,0.7757,0.383045508,0.033238918,0.090831382,0.0685,0.0861,0.1546
552.1,0.585,1.103952463,-1.452280767,0.064264528,0.0723,0.0795,0.1518
552.2,0.7415,0.418602926,0.716771041,0.085367258,0.0801,0.0943,0.1744
552.3,0.7245,2.701247873,0.47090064,0.073045319,0.092,0.102,0.194
554.1,0.5194,0.195593138,-0.423868317,0.060887404,0.0694,0.065,0.1344
554.2,0.5446,0.337008885,-0.131811856,0.063751829,0.0718,0.0727,0.1445
554.3,0.4637,-0.853344524,0.490256297,0.058890018,0.0624,0.0633,0.1257
555.1,0.6008,1.138671513,1.302445317,0.066372072,0.0831,0.0716,0.1547
555.2,0.567,-0.55382546,0.177495625,0.06989645,0.0644,0.0549,0.1193
556.1,0.3094,-5.816212078,-0.813665591,0.057455896,0.0344,0.0353,0.0697
557.3,0.6721,0.918855411,-0.108714613,0.074823267,0.0844,0.0855,0.1699
557.4,0.5126,0.403861676,1.577847679,0.059538881,0.0718,0.0591,0.1309
558.1,0.5701,0.158098099,0.132561221,0.06739169,0.0663,0.0749,0.1412
558.2,0.6021,0.109137456,1.615722754,0.071233363,0.0799,0.0779,0.1578
558.3,0.5749,1.06399878,1.863055571,0.064062848,NA,NA,NA
559.1,0.5891,1.7949271,0.262133378,0.06222011,0.0671,0.087,0.1541
559.2,0.5095,-5.96E-05,0.696041912,0.060192569,0.0614,0.0638,0.1252
559.3,0.5896,0.379691661,-1.656453482,0.067770115,0.0686,0.0796,0.1482
561.1,0.5348,0.401887083,0.001418946,0.062214984,0.0712,0.0743,0.1455
561.2,0.503,0.75992488,0.291623514,0.056926211,0.0656,0.062,0.1276
563.1,0.5948,1.89385948,0.547352094,0.062871941,0.0742,0.0756,0.1498
563.2,0.6293,0.567101565,-0.851337192,0.072287634,0.0663,0.0647,0.131
564.1,0.5632,-0.227958363,-0.185075322,0.068142771,0.0737,0.0773,0.151
565.1,0.6262,0.484781822,0.391461508,0.071787229,0.082,0.0722,0.1542
565.2,0.6926,0.856685821,1.732021464,0.076976938,0.0808,0.0779,0.1587
567.1,0.5304,0.277749955,-0.716018831,0.061524185,0.0684,0.0681,0.1365
568.1,0.621,0.04434331,-5.43285279,0.073291632,0.07,0.0818,0.1518
568.2,0.6312,0.16992377,-5.641712699,0.072853186,0.0755,0.0885,0.164
568.3,0.5774,-0.061729125,-5.523601514,0.068121756,0.0697,0.0781,0.1478
569.1,0.6475,1.449099522,-0.20460067,0.07077663,0.0847,0.0942,0.1789
570.2,0.5419,0.395325916,0.412304092,0.063026285,0.0737,0.0685,0.1422
571.1,0.3874,-1.667752812,-0.159479707,0.052055899,0.0614,0.0524,0.1138
571.2,0.5201,1.466806782,0.454044261,0.05713501,0.0757,0.0737,0.1494
572.1,0.6211,0.438504722,0.326028326,0.071990727,0.0765,0.0774,0.1539
572.2,0.5513,-0.914329913,-1.971399021,0.068399504,0.071,0.067,0.138
572.3,0.6338,1.463253648,1.497426726,0.068084649,0.0868,0.0804,0.1672
574.2,0.5846,0.657062415,-0.811135681,0.066041573,0.0753,0.0719,0.1472
574.4,0.5643,0.136570627,-0.027235703,0.06643122,0.0747,0.075,0.1497
576.1,0.569,0.446159718,0.521016767,0.065768942,0.0886,0.0836,0.1722
576.2,0.5707,1.080498491,0.641394015,0.063186448,0.0916,0.08,0.1716
576.3,0.4929,-1.201377355,-0.471814006,0.063456711,0.0701,0.0622,0.1323
576.4,0.4874,-0.511349521,-1.663726989,0.059693815,0.0739,0.0654,0.1393
577.1,0.5779,0.279153614,-0.971143042,0.067154727,0.0724,0.0673,0.1397
